Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_06_619.jpg;0;0;1;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_06_644.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_06_685.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_06_752.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_06_819.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_06_887.jpg;0;0;0;0;99.66999;85.58897;0.0002361822;56.82556;-5.26248E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_06_952.jpg;0;0;0;0;99.66999;85.58897;0.000236167;56.82556;-4.751083E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_021.jpg;2.025847;0;0;0;99.66999;85.58897;0.0002368557;57.06868;-9.390715E-07
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_087.jpg;5.995445;0;0;0;99.66999;85.58897;0.000236353;58.03211;-4.845949E-06
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_153.jpg;6.110659;0;0;0;99.66999;85.58897;0.0002370587;59.36846;-9.048507E-06
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_221.jpg;10.20002;0;0;0;99.66999;85.58897;0.0002360959;61.56732;-1.518795E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_288.jpg;10.16882;0;0;0;99.66999;85.58897;0.0002350107;63.51862;-2.095462E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_355.jpg;6.158652;0;0;0;99.66999;85.58897;0.0002348836;64.86375;-2.370902E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_421.jpg;2.190857;0;0;0;99.66999;85.58897;0.0002353034;65.618;-2.310907E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_487.jpg;0;0;0;0;99.66999;85.58897;0.0002365901;65.62991;-1.98254E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_553.jpg;-1.990085;0;0;0;99.66999;85.58897;0.0002371874;65.51051;-1.565878E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_621.jpg;-6.002097;0;0;0;99.66999;85.58897;0.0002387529;64.31197;-4.973473E-06
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_688.jpg;-10.02791;0;0;0;99.66999;85.58897;0.0002387933;62.62858;4.793526E-06
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_754.jpg;-13.99745;0;0;0;99.66999;85.58897;0.0002384857;60.34383;1.665809E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_820.jpg;-15;0;0;0;99.66999;85.58897;0.0002366046;56.74386;3.223525E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_887.jpg;-14.96112;0;0;0;99.66999;85.58898;0.0002361734;54.16993;4.124433E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_07_954.jpg;-15;0;0;0;99.66999;85.58898;0.000233996;51.46995;4.877262E-05
/home/austin/Udacity/RoboND/RoboND-Rover-Project/IMG/robocam_2018_08_01_13_34_08_020.jpg;-15;0;0;0;99.66999;85.58898;0.0002307974;47.86998;5.613005E-05
